PROC_TRACEINFO,OP070_V1,OP090_F1,OP070_V2,OP120_R1,OP090_F2,OP110_M1,OP100_C1,OP120_R2,OP070_V3,OP090_F3,OP110_M2,OP090_F4,OP070_V3,TEST_OP070_V1,TEST_OP090_F1,TEST_OP070_V2,TEST_OP120_R1,TEST_OP090_F2,TEST_OP110_M1,TEST_OP100_C1,TEST_OP120_R2,TEST_OP070_V3,TEST_OP090_F3,TEST_OP110_M2,TEST_OP090_F4,TEST_OP070_V3
4743,145.3,164.13,157.8,115.49,11.82,12.16,0.39,11.97,6.61,25.11,48.4,108.03,6.6,162.3,155.73,170.2,112.04,12.04,12.24,0.41,11.97,6.41,21.19,15.7,101.34,6.41
4744,176.4,152.73,184.4,108.72,12.04,12.28,0.39,11.97,6.41,23.62,17.7,98.27,6.4,163.9,157.81,162.2,112.39,12.07,12.26,,11.97,6.62,27.35,22.3,106.5,6.61
4745,154.9,170.34,142.5,112.87,11.73,12.29,,11.97,6.6,28.21,13.5,101.95,6.61,132.9,152.46,173.9,121.45,12.05,12.3,0.41,11.97,6.41,24.25,16.1,104.17,6.4
4746,159.2,171.69,158.7,114.71,12.08,12.25,,11.97,6.62,22.71,17.1,99.5,6.61,155.5,180.64,159.4,112.77,12.06,12.25,,11.97,6.61,24,14.1,103.26,6.61
4747,138.2,175.43,172.9,113.88,12.06,12.26,,11.97,6.62,24.86,13.5,102.51,6.63,182.5,154.32,186.2,122.13,11.82,12.2,0.39,11.97,6.6,26.61,14.3,93.4,6.61
4748,158.9,143.9,157.5,108.45,11.86,12.19,,11.98,6.61,26.18,23.7,109.37,6.6,172.8,156.13,144.7,115.13,11.84,12.16,,11.97,6.6,24.82,22,94.51,6.6
4749,157.1,159.07,140.9,117.56,11.89,12.21,,11.97,6.62,24.63,24.8,91.55,6.6,192.9,167.65,167.8,108.19,11.85,12.21,,11.97,6.61,25.67,14.9,105.29,6.62
4750,147.7,162.01,172.1,112.86,11.82,12.3,0.36,11.98,6.6,26.44,20.1,101.74,6.61,136,147.37,150.5,108.84,12.09,12.24,0.41,11.97,6.41,22.3,29.9,97.07,6.41
4751,159.1,147.24,144.1,112.88,11.72,12.26,,11.97,6.64,26.75,23.8,102.96,6.62,139.4,162.36,147.6,119.59,12.08,12.16,,11.97,6.62,25.56,17.1,99.22,6.61
4752,164.4,172.86,163.4,113.96,11.87,12.17,,11.97,6.63,24.75,17.4,99.55,6.61,147.3,174.86,178.2,113.25,12.06,12.13,,11.98,6.6,25.31,18.6,102.77,6.61
4753,142.8,153.27,156,111.99,12.11,12.21,0.4,11.97,6.42,17.25,16,91.58,6.41,172.3,149.91,167.3,112.25,11.76,12.21,,11.97,6.62,25.73,18.5,101.64,6.61
4754,163.3,179.93,169.5,113.9,12.06,12.26,,11.97,6.6,26.8,16.1,105.36,6.63,153.8,165.62,169.5,108.58,11.87,12.29,,11.97,6.62,26,14.6,89.69,6.61
4755,148.9,156.63,147,114.67,11.86,12.27,0.29,11.98,6.61,25.26,18.2,94.08,6.61,163,174.06,166.1,106.95,11.88,12.34,,11.98,6.62,25.04,17.6,97.73,6.61
4756,176.2,150.85,152.7,107.7,11.75,12.32,,11.97,6.61,27.16,14.6,99.88,6.6,178.3,166.25,150.1,112.73,12.06,12.21,,11.98,6.62,21.96,17.2,95.16,6.61
4757,156.5,158.95,158.7,115.24,12.1,12.27,,11.97,6.62,22.57,25.9,101.87,6.63,172,167.14,149.9,123.92,11.93,12.17,,11.97,6.62,27.02,28.5,102.81,6.61
4758,141.7,174.41,171.4,109.8,11.89,12.2,,11.97,6.64,24.77,19.3,94.04,6.6,142.9,156.08,152.7,112.9,12.11,12.28,0.35,11.97,6.41,23.63,12.5,96.18,6.4
4759,197.8,145.15,153,115.17,11.85,12.26,,11.97,6.5,26.55,16.7,100.77,6.63,133.7,169.58,178.5,112.3,12.06,12.26,,11.97,6.62,21.96,35.3,95.98,6.61
4760,168,146.62,166.1,113.21,11.82,12.23,0.39,11.97,6.61,22.13,15.2,91.56,6.61,166.4,147.02,157.8,110.72,12.06,12.24,0.41,11.97,6.42,21.27,15.4,94.19,6.41
4761,162.8,146.32,156,110.29,12.11,12.28,0.37,11.97,6.42,18.04,15.7,83.92,6.42,156.6,148.71,167.4,112.78,11.84,12.35,0.4,11.97,6.6,28.97,11.5,106.46,6.61
4762,163,152.44,142.4,117.33,12.04,12.3,0.41,11.97,6.4,21.75,14.1,101.25,6.41,163.5,153.25,160.7,109.41,12.11,12.29,0.39,11.97,6.41,21.69,15.5,90.68,6.42
4763,130.7,143.64,146.5,110.64,12.1,12.27,0.39,11.97,6.41,17.39,15.8,83.74,6.41,134.8,143.43,165.1,117.31,11.84,12.21,0.34,11.97,6.61,22.58,16.2,97.98,6.61
4764,175,149.35,186.1,116.12,12.12,12.3,0.38,11.97,6.42,20.17,12.2,95.84,6.42,171.5,162.98,159.9,117.75,11.88,12.36,,11.97,6.62,23.8,11.2,88.69,6.63
4765,144.2,160.08,140,114,12.12,12.23,0.37,11.97,6.43,22.58,14.3,104.56,6.42,144.2,137.18,119.7,114.94,11.88,12.21,0.36,11.97,6.61,24.03,16.4,93.67,6.6
4766,156.1,159.39,146.6,115.82,12.09,12.26,,11.97,6.62,23.77,12,105.5,6.61,156.7,172.94,135.5,107.77,12.07,12.2,,11.98,6.61,22.38,30.3,100.53,6.6
4767,145.1,173.5,156.9,112.39,12.09,12.17,,11.97,6.61,26.57,17.1,100.03,6.61,186,151.19,139.7,108.8,11.85,12.22,,11.97,6.6,27.74,16,110.17,6.61
4768,153.1,165.97,181.3,112.84,12.06,12.2,,11.97,6.62,25.84,19,99.18,6.6,197.9,160.08,167.7,119.53,11.84,12.17,,11.97,6.56,32.11,19.3,103.95,6.65
4769,149.3,143.93,145.7,108.69,11.83,12.27,0.39,11.97,6.61,24.66,17.2,102.96,6.62,141.9,134.38,140.7,108.15,12.1,12.23,0.41,11.98,6.4,22.6,16.1,98.33,6.4
4770,156.8,156.56,151.5,110.62,11.9,12.26,,11.98,6.62,26.59,12.8,100.43,6.61,142.8,139.98,161.9,112.75,11.84,12.28,0.38,11.97,6.61,23.86,18.4,95.17,6.62
4771,143.5,161.33,131.1,110.82,11.83,12.19,0.38,11.97,6.61,24.8,26.9,98.5,6.61,151.1,154.33,152,113.45,11.69,12.34,,11.97,6.61,23.07,13.4,97.51,6.6
4772,138.2,173.21,155.8,113.31,12.06,12.25,,11.98,6.61,22.76,14.5,105.81,6.63,157.6,152.41,164.7,111.47,11.89,12.34,,11.98,6.62,22.61,17.5,92.55,6.61
4773,158.7,179.08,156.8,117.98,12.08,12.29,,11.97,6.62,20.01,14,95.95,6.61,156.9,152.61,151.2,121.4,12.04,12.3,0.41,11.97,6.41,25.17,16.2,104.34,6.41
4774,148.5,172.13,162.5,114.18,12.06,12.21,,11.97,6.63,23.95,19,96.85,6.61,153,176.62,167.7,115.14,11.92,12.18,,11.97,6.62,26.42,17.8,96.19,6.63
4775,165.1,156.06,197.4,116.27,12.09,12.34,,11.98,6.62,22.5,15.4,100.38,6.59,162,160.44,168.8,115.31,12.09,12.26,0.41,11.97,6.41,17.66,16,87.82,6.41
4776,156.3,147.03,159.4,111.16,11.86,12.2,,11.98,6.61,25.32,17.6,103.97,6.62,145.4,155.82,152.2,114.09,12.1,12.16,0.41,11.97,6.4,23.92,22.5,104.25,6.41
4777,122.1,149.75,151.5,110.77,11.91,12.24,,11.97,6.62,23.99,13.1,87.2,6.61,167.7,161.73,159.3,112.55,11.83,12.23,,11.97,6.61,23.51,16.6,104.96,6.61
4778,157,157.89,158.6,120.09,11.9,12.23,,11.97,6.61,24.14,16.1,96.57,6.63,163.5,168.19,153.8,104.96,11.82,12.28,0.37,11.98,6.6,26.1,18.7,101.76,6.61
4779,156.1,153.74,141.2,112.68,12.09,12.25,0.39,11.97,6.4,18.98,16.2,82.03,6.41,165.4,164.8,150.9,111.1,12.07,12.27,,11.97,6.63,21,18,100.72,6.62
4780,183,158.66,128.6,116.45,11.82,12.26,0.38,11.97,6.6,27.65,24.7,106,6.61,163.3,158.77,151.1,113.45,12.08,12.19,,11.97,6.62,23.23,20.4,104.07,6.63
4781,144.7,152.1,151.4,113.32,11.92,12.23,,11.97,6.62,23.96,25.5,95.26,6.61,156.4,169.72,158.8,113.19,11.93,12.25,,11.97,6.61,30.03,13.7,103.86,6.61
4782,160.4,163.19,166.1,111.45,11.79,12.19,0.37,11.97,6.6,27.56,20.2,103.94,6.61,164.7,153.98,146.8,117.84,12.13,12.27,0.4,11.97,6.41,20.94,28.3,106.09,6.41
4783,181.3,176.06,189.8,112.89,12.06,12.28,,11.97,6.62,22.68,13.3,96.93,6.61,176.1,154.93,149.3,110.7,12.09,12.26,0.39,11.97,6.42,18.48,13.1,92.37,6.44
4784,172.9,132.81,170,115.16,11.71,12.26,,11.97,6.6,23.05,19,102.03,6.61,148.2,154.49,155.2,111.27,12.09,12.29,0.41,11.97,6.42,22.1,16.9,105.16,6.41
4785,171.7,161.94,187.9,116.51,12.09,12.24,,11.97,6.62,25.79,22.3,102.22,6.6,183,149.24,138.3,112.27,12.04,12.29,0.41,11.97,6.4,22.97,11.4,101.5,6.41
4786,190.4,170.46,176,110.08,12.07,12.3,,11.98,6.62,23.18,21.6,104.71,6.6,158.7,150.87,190.5,111.92,11.85,12.31,,11.97,6.6,26.74,11.2,100.96,6.61
4787,152.9,172.06,185.3,115.74,12.07,12.19,,11.97,6.6,23.43,28.7,105.21,6.61,148.5,168.69,143.4,114.59,11.82,12.33,0.36,11.97,6.61,26.07,13.4,107.56,6.6
4788,181.6,159.62,159.3,119.05,11.87,12.33,,11.97,6.61,23.55,11.5,94.75,6.64,163.6,152.18,177.4,112.9,12.09,12.24,,11.97,6.64,22.45,15.1,93.15,6.61
4789,148.7,173.24,153.4,110.67,11.89,12.24,,11.97,6.62,23.81,14.9,92.75,6.62,136.3,153.01,161.9,111.42,12.13,12.26,0.4,11.97,6.41,22.13,18.8,95,6.42
4790,148.4,172.78,144.7,109.24,12.06,12.23,,11.97,6.61,24.63,18,97.2,6.61,158.5,149.44,143.7,111.94,12.1,12.24,0.39,11.97,6.41,24.52,14.4,88.25,6.4
4791,156.6,137.97,166.2,115.39,12.05,12.24,0.41,11.97,6.41,24.15,13.3,102.76,6.4,167.6,146.75,156.5,114.11,12.12,12.27,0.39,11.97,6.4,19.37,15.7,81.07,6.41
4792,149.1,162.84,148.2,109.31,11.82,12.2,0.38,11.97,6.62,25.34,17.9,105.37,6.62,152.8,173.52,149.8,110.16,11.89,12.22,,11.97,6.6,21.82,17.9,88.12,6.61
4793,192.2,151.74,185.5,113.13,11.85,12.31,0.37,11.97,6.61,22.63,11,93.19,6.61,177,146.39,146.6,112.96,12.1,12.35,0.41,11.97,6.4,24.7,12.2,95.07,6.42
4794,153.7,152.53,166.4,117.68,12.09,12.21,,11.97,6.6,20.51,16.6,98.78,6.63,149.4,148.65,160.7,110.74,12.1,12.31,0.39,11.97,6.4,16.65,8.9,76.73,6.42
4795,155.3,166.44,161.5,113.1,12.09,12.25,0.39,11.97,6.41,23.87,29.2,88.27,6.41,172.5,149.74,191.5,112.32,12.12,12.22,0.39,11.97,6.4,17.81,14.6,84.07,6.41
4796,157.9,177.84,154.4,111.43,12.06,12.2,,11.97,6.62,22.96,13.7,101.47,6.61,166.2,150.98,195.7,118.15,12.04,12.25,0.41,11.97,6.41,21.8,13.9,86.09,6.42
4797,140.6,142.99,159.8,109.77,12.08,12.38,0.42,11.97,6.4,22.98,9.1,101.3,6.41,167.2,161.67,159.4,112.37,11.75,12.35,,11.97,6.61,24.92,11.7,98.39,6.62
4798,151.2,135.25,172,110.16,12.07,12.25,0.39,11.97,6.41,23.55,16.9,96.03,6.4,156.8,165.4,133.6,115.83,12.06,12.23,,11.97,6.62,26.45,15.1,100.86,6.63
4799,165.1,147,170.3,111.83,11.75,12.29,,11.98,6.6,28.76,10.9,105.22,6.62,139.7,146.35,137,105.48,11.9,12.22,,11.98,6.6,24.21,21.4,99.09,6.61
4800,140.5,167.49,144.6,116.75,11.88,12.32,,11.97,6.62,24.66,11.2,95.35,6.6,149.8,164.69,162.2,114.76,11.88,12.34,,11.97,6.61,26.19,13.2,100.55,6.62
4801,151.3,160.15,145.7,110.52,12.11,12.31,0.42,11.97,6.41,21.74,13.3,95.46,6.41,180.5,159.22,148.2,114.4,11.82,12.36,0.36,11.97,6.61,26.28,20.2,100.5,6.61
4802,153.4,158.22,161.6,109.8,11.8,12.37,0.37,11.97,6.61,25.72,10.3,104.71,6.6,161.6,169.76,163.6,111.63,12.07,12.27,,11.97,6.6,21.99,15.4,99.14,6.62
4803,181.4,138.58,173.5,115.09,12.05,12.34,0.41,11.97,6.42,22.57,22.6,99.38,6.4,161.6,158.16,174.3,114.78,12.09,12.27,,11.97,6.62,24.67,16.9,103.08,6.6
4804,138.5,165.33,160.1,112.65,12.08,12.24,,11.97,6.62,21.98,34.7,101.88,6.6,165.2,155.73,152.1,106,11.92,12.39,,11.98,6.61,22.34,10.6,100.86,6.61
4805,153.1,163.19,140.5,105.42,11.82,12.29,0.39,11.97,6.6,25.94,12,105.77,6.62,164,150.73,180,108.31,12.06,12.3,0.41,11.97,6.41,22.23,11,97.95,6.41
4806,168.1,150.94,156.7,112.93,12.13,12.46,0.4,11.98,6.41,20.6,7.8,89.42,6.41,173.9,141.03,151.5,108.2,11.87,12.3,0.4,11.97,6.61,25.59,17.2,93.7,6.62
4807,161.9,151.98,157,117.83,12.04,12.29,0.39,11.97,6.4,22.62,14.9,95.84,6.4,167.9,144.66,158.4,111.91,12.05,12.3,0.41,11.97,6.41,22.48,10.7,95.15,6.44
4808,162,140.39,174.1,114.69,11.73,12.16,,11.97,6.61,26.42,16.2,98.67,6.6,165.5,174.58,132,112.41,12.06,12.2,,11.97,6.61,23.86,16.9,105.52,6.62
4809,157.6,149.07,161.3,116.49,12.14,12.36,0.4,11.97,6.41,21.09,12.1,94.02,6.44,168.8,161.71,156.2,113.95,12.08,12.26,,11.97,6.61,31.88,12.3,104.08,6.61
4810,149.1,168.38,144,110.38,11.89,12.21,,11.98,6.63,24.79,20.8,94.85,6.62,165.5,153.41,161.7,111.31,11.9,12.41,,11.97,6.61,24.42,19.6,105.56,6.6
4811,131.3,162.64,142.1,119.21,11.8,12.24,0.37,11.97,6.61,24.16,18.8,102.47,6.61,149.6,162.7,153.9,106.83,11.88,12.2,,11.98,6.62,22.98,16.8,88.91,6.61
4812,158.4,145.47,166.3,117.38,12.06,12.32,0.41,11.97,6.4,20.93,12.5,93.27,6.42,140.3,155.32,151.2,110.82,12.09,12.29,0.41,11.97,6.4,23.03,11.9,96.23,6.44
4813,132.6,152.16,163.3,118.33,12.11,12.31,0.41,11.97,6.43,20.64,14.3,84.23,6.42,147.9,152.88,162.3,115.07,11.81,12.21,0.36,11.97,6.62,23.93,19.1,99.97,6.61
4814,163.2,151.15,163,110.13,12.03,12.34,0.41,11.97,6.41,22.66,11.5,93.62,6.41,154.9,153.87,179.1,113.51,11.69,12.29,,11.97,6.61,29.13,13.6,99.37,6.6
4815,157.8,152.34,144.5,112.34,12.12,12.27,0.39,11.97,6.41,17.63,21.9,82.21,6.41,156,151.87,150.3,109.94,11.9,12.3,,11.97,6.62,22.22,12.7,92.44,6.62
4816,155.1,159.1,152.8,111.51,12.09,12.19,,11.98,6.62,23.35,14.9,98.95,6.62,161,167.9,163.7,120.91,11.81,12.27,0.38,11.97,6.62,25.22,10.6,99.64,6.61
4817,191.6,149.89,156.5,115.52,11.85,12.33,,11.97,6.6,26.9,10.9,107.69,6.6,157.7,147.19,180.6,106.87,11.83,12.14,0.38,11.97,6.61,25.14,19.6,101.86,6.66
4818,139.8,144.88,153.1,111.53,12.11,12.3,0.41,11.97,6.41,19.76,12.8,89.7,6.4,172.1,150.39,155.2,110.86,12.03,12.24,0.41,11.97,6.41,22.08,12.1,101.16,6.4
4819,155.1,174.95,166.3,114.68,11.88,12.19,,11.97,6.62,24.55,20.5,100.32,6.61,171.8,148.16,176.7,114.72,12.12,12.32,0.41,11.97,6.4,18.86,11.6,85.69,6.4
4820,197.7,162.94,158.7,114.22,11.84,12.17,,11.97,6.59,27.75,20.4,109.75,6.6,150.6,144.08,169.6,110.2,12.05,12.25,0.41,11.97,6.4,21.43,20.7,104.46,6.41
4821,195.5,168.12,169.5,113.07,11.82,12.27,0.4,11.97,6.6,26.23,19.1,104.33,6.6,155.3,167.93,158.2,119.01,11.88,12.35,,11.97,6.62,22.84,13.9,98.18,6.61
4822,142.3,154.98,151.2,113.28,11.75,12.22,,11.97,6.61,25.45,13.9,99.77,6.62,161.1,154.63,179.1,113.81,12.13,12.36,0.39,11.97,6.41,21.26,12.9,102.4,6.41
4823,190.2,166.76,177.4,117.1,12.07,12.17,,11.97,6.61,23.5,30.9,97.87,6.64,156.7,152.89,197.4,116.05,11.71,12.28,,11.97,6.61,23.5,19.9,96.81,6.55
4824,156.4,160.56,140.1,122.79,11.87,12.34,,11.97,6.62,24.71,10.4,91.16,6.6,165.7,157.39,140,109.95,11.82,12.18,0.37,11.97,6.61,25.41,34.2,94.94,6.6
4825,174.7,140.63,187.4,113.44,11.87,12.28,,11.97,6.62,24.21,14,98.3,6.62,150.7,157,176.4,108.3,12.08,12.27,,11.97,6.62,21.59,18.9,94.11,6.61
4826,150.1,152.06,163,118.57,12.09,12.2,,11.97,6.62,23.3,17.1,93.55,6.61,165.5,158,182.7,115.86,11.82,12.19,0.38,11.97,6.61,25.62,18,95.25,6.61
4827,155.1,150.52,146.1,107.12,12.08,12.13,,11.98,6.63,21.19,13.9,95.39,6.62,165.4,168.53,169.9,109.22,12.06,12.2,,11.98,6.62,21.83,35.7,106.23,6.62
4828,192.1,156.67,193,119.83,11.84,12.21,,11.98,6.6,26.29,23.2,102.25,6.6,159.7,152.37,154.5,111.94,12.04,12.15,0.41,11.97,6.41,25.48,18.9,103.13,6.43
4829,173.8,176.22,193.9,118.25,12.06,12.28,,11.98,6.62,24.07,18.5,100.53,6.61,146,159.3,139.3,115.78,11.82,12.33,0.39,11.97,6.61,24.26,13.9,97.7,6.61
4830,185,147.54,154.5,113.67,12.12,12.35,0.38,11.97,6.41,18.34,14.1,90.46,6.42,188.9,144.71,195.6,120.3,11.86,12.19,,11.97,6.6,26.82,24.4,104.92,6.63
4831,158.1,143.75,153.1,110.41,12.06,12.18,0.38,11.97,6.41,21.92,19.3,92.91,6.41,146.8,152.78,141.7,113.41,12.1,12.42,0.41,11.97,6.4,16.79,15.7,89.31,6.41
4832,155.8,171.21,140.4,112.7,12.06,12.24,,11.97,6.6,23.07,29.5,100.64,6.61,161.5,155.69,150,109.46,11.9,12.27,,11.97,6.61,27.06,12.4,91.67,6.62
4833,165.7,150.56,172.6,117.28,11.76,12.32,,11.97,6.61,25.35,17.5,97.3,6.6,156.2,145.77,156.8,114.8,12.13,12.31,0.33,11.97,6.4,18.12,30.9,79.51,6.43
4834,154.7,143.29,154.3,113.58,12.04,12.31,0.41,11.97,6.41,21.1,12.3,100.53,6.41,138.5,169.02,158.6,116.12,12.08,12.31,,11.98,6.63,25.23,17.1,102.81,6.61
4835,141.8,146.62,144,110.97,12.09,12.34,0.41,11.97,6.42,23.13,15.2,103.43,6.41,147.7,158.44,186.8,113.88,12.09,12.3,,11.98,6.62,22.16,13.1,103.26,6.63
4836,151.1,148.07,152.2,111.86,12.11,12.26,0.41,11.98,6.42,21.1,8.7,90.37,6.41,197.9,162.26,171,111.11,11.69,12.22,,11.97,6.44,23.89,19.2,104.78,6.61
4837,174.3,153.81,166,115.51,11.84,12.34,0.37,11.97,6.6,25.52,10.8,96.33,6.61,186.4,151.8,177.9,113.34,12.04,12.39,0.41,11.97,6.44,22.93,9.3,102.03,6.4
4838,156.1,152.44,153.7,113.9,12.03,12.36,0.41,11.97,6.41,21.95,12,99.38,6.4,198.2,128.89,156.2,116.99,11.74,12.36,,11.97,5.81,21.58,22.6,97.22,6.61
4839,140,181.74,168.6,111.95,11.91,12.32,,11.97,6.62,28.91,17.6,105.45,6.61,176.9,159.97,167.5,110.96,11.84,12.2,,11.97,6.61,25.5,22.9,104.61,6.62
4840,147.3,149.25,168.6,109.5,11.89,12.31,,11.98,6.61,22.55,16.2,88.48,6.6,197.7,159.5,167.1,107.77,11.8,12.29,0.38,11.97,6.55,26.68,14.5,96.2,6.61
4841,171.9,150.77,168,109.35,11.76,12.21,,11.97,6.61,26.62,14.6,98.6,6.64,173.8,163.52,131.1,110.26,11.81,12.25,0.35,11.98,6.62,24.82,17.5,98.87,6.6
4842,159,179.52,159.5,111.52,12.06,12.17,,11.97,6.62,25.5,21,102.38,6.6,161.5,160.42,165.2,113.84,12.09,12.23,0.38,11.97,6.4,17.7,19,83.26,6.41
4843,159.5,160.97,174.2,115.31,12.08,12.29,,11.97,6.62,23.17,19.1,100.09,6.6,148.8,176.63,166,113.15,12.06,12.2,,11.97,6.62,25.55,27.6,107.28,6.61
4844,156.5,162.52,170.9,117.14,11.77,12.29,,11.97,6.6,27.53,16.9,102.92,6.6,176.5,156.22,168.4,117.83,11.73,12.37,,11.97,6.61,24.97,11,98,6.6
4845,187,164.63,176.1,111.75,11.86,12.25,,11.98,6.61,26.08,29.2,106.31,6.61,167,153.14,181,113.33,12.05,12.18,0.4,11.97,6.42,22.2,17.5,100.43,6.43
4846,151.4,151.35,186,110.12,12.12,12.25,0.39,11.97,6.41,20.94,14.8,83.28,6.42,161.5,160.26,142.8,114.24,11.81,12.36,0.39,11.97,6.62,26.45,11.2,99.3,6.6
4847,172.7,169.11,178.3,118.19,12.06,12.23,,11.97,6.62,23.78,14.6,103.6,6.6,161.6,142.89,151.3,113.17,12.1,12.2,0.39,11.97,6.4,18.97,19.8,82.79,6.41
4848,130.4,154.87,131.5,109.91,12.07,12.24,0.36,11.97,6.41,21.44,18,105.83,6.41,190.9,156.28,197.8,114.79,12.12,12.31,0.41,11.97,6.41,18.84,15.7,87.42,6.31
4849,182.3,164.83,173.5,108.56,12.08,12.21,,11.98,6.62,22.64,13.1,104.55,6.62,136.4,155.27,175.1,111.46,11.82,12.31,0.28,11.97,6.62,22.37,12.4,91.59,6.61
4850,175.2,167.93,165.4,121.59,12.07,12.24,,11.98,6.61,22.56,14.8,104.1,6.61,141.9,152.29,151.9,118.09,11.89,12.25,,11.97,6.63,23.73,16.8,87.33,6.61
4851,157.4,173.41,170.1,117.78,12.08,12.18,,11.97,6.62,23.95,17.2,93.17,6.61,163.5,166.71,159.1,113.98,12.07,12.26,,11.97,6.62,21.34,17.7,100.7,6.64
4852,155.2,176.21,155,113.32,11.92,12.23,,11.97,6.62,29.39,48.8,100.03,6.61,166.2,157.4,170.2,113.22,12.07,12.18,,11.97,6.62,22.4,50.3,100.33,6.61
4853,196.9,137.59,191.1,113.99,12.07,12.2,0.39,11.97,6.41,21.86,14.7,93.37,6.41,152.9,149.38,150.2,112.51,12.06,12.21,0.41,11.97,6.41,22.41,13.4,99.14,6.41
4854,141.1,171.27,154,114.75,12.09,12.15,,11.97,6.65,24.7,38.3,106.41,6.61,153.9,160.42,159.5,110.25,11.9,12.29,,11.97,6.6,24.48,31.6,88.56,6.61
4855,156.6,167.81,152.6,113.21,11.89,12.26,,11.98,6.62,23.48,14.3,94.78,6.62,148.9,178.3,142.4,116.66,12.06,12.19,,11.97,6.61,23.26,19.9,103.02,6.63
4856,142.2,154.76,161.2,109.14,11.83,12.28,0.36,11.97,6.61,24.22,43.8,95.15,6.62,150.7,152.53,154.5,111.61,12.06,12.21,0.41,11.97,6.41,22.05,15.2,101.36,6.44
4857,144.7,153.34,148.6,114.6,12.1,12.19,,11.98,6.62,21.67,13.5,102.72,6.6,150.2,154.22,162.8,112.95,11.9,12.23,,11.97,6.62,26.13,10.4,92.95,6.6
4858,149.5,151.08,161.9,107.59,11.89,12.25,,11.99,6.6,24.72,16,90.88,6.6,154.2,135.77,152,109.4,11.85,12.24,0.38,11.98,6.63,26.14,25.7,100.3,6.62
4859,167.5,143.19,140,113.41,11.71,12.22,,11.97,6.61,25.81,18.3,95.71,6.62,174.4,164.71,174.1,113.28,12.07,12.17,,11.97,6.62,24.27,27.3,101.43,6.61
4860,145,160.32,185.5,131.04,12.11,12.23,,11.97,6.62,25.47,22.2,100.31,6.61,183.9,157.75,155.6,113.86,12.04,12.45,0.41,11.97,6.41,23.03,10.7,107.58,6.41
4861,169.1,152.93,171.2,113.7,12.12,12.21,0.39,11.97,6.41,20.18,19.8,102.07,6.42,141.7,143.28,160.5,116.18,11.84,12.2,0.38,11.97,6.61,23.48,23.9,92.06,6.6
4862,153.8,164.7,163.7,113.38,12.12,12.28,0.4,11.97,6.41,22.09,14.9,99.35,6.44,130.7,143.53,158.4,113.17,12.13,12.27,0.4,11.97,6.41,18.7,12.6,80.97,6.42
4863,159.2,151.33,157.6,115.18,12.09,12.28,0.42,11.97,6.42,23.4,15.7,100.97,6.4,152.4,147.39,158.7,109.85,11.9,12.23,,11.97,6.6,24.58,14,90.75,6.62
4864,165.4,160.29,142.1,109.58,11.9,12.27,,11.97,6.62,24.12,12.9,88.78,6.61,195.7,152.66,197.8,115.81,12.04,12.17,0.38,11.97,6.41,21.81,24,97.46,6.2
4865,150.2,141.21,179.6,118.12,12.12,12.25,0.38,11.97,6.41,18.02,16.7,82.47,6.4,166.9,146.15,168.3,117.08,11.9,12.19,,11.97,6.6,23.8,17.7,89.95,6.61
4866,157.2,161.15,150.4,114.15,11.88,12.21,,11.97,6.6,28.25,19.8,92.64,6.61,155.8,159.75,171.1,114.03,11.87,12.28,,11.97,6.61,24.3,19.3,93.65,6.61
4867,146.4,157.08,163.2,105.71,11.76,12.49,,11.97,6.61,26.47,10.8,99.49,6.61,141.4,167.07,156.2,113.94,12.08,12.27,,11.97,6.61,23.38,11.8,99.39,6.63
4868,145.8,137.39,157.4,109.93,12.13,12.31,0.39,11.97,6.42,17.18,10.7,79.35,6.41,149.7,177.81,159.6,115.33,12.06,12.19,,11.97,6.62,25.2,25.2,102.14,6.63
4869,165.3,154.1,161.6,107.58,12.12,12.24,0.39,11.97,6.42,19.42,25.6,82.47,6.41,142.9,147.7,144.6,120.88,11.89,12.26,,11.97,6.6,24.63,11.3,95.45,6.61
4870,172.3,155.94,162.9,121.84,11.82,12.22,0.37,11.97,6.61,25.63,23.3,100.03,6.61,167.2,169.02,151.7,110.24,11.88,12.27,,11.98,6.61,26.16,17.9,97.61,6.63
4871,162.2,166.47,165,110.11,11.89,12.27,,11.97,6.62,21.29,16.1,91.99,6.61,133.2,173.07,150.9,112.4,12.06,12.27,,11.97,6.61,27.62,13.1,104.19,6.61
4872,165.3,166.56,150,114.39,11.93,12.28,,11.97,6.62,29.23,11.2,103.57,6.6,167.2,164.98,159.8,110.04,12.13,12.21,0.4,11.97,6.41,20.78,13.2,93.2,6.41
4873,163.1,154.26,142.7,110.18,12.12,12.24,0.38,11.97,6.44,18.14,17.3,81.45,6.4,140.4,142.82,174.8,111.56,12.12,12.29,0.38,11.97,6.41,16.13,17.1,79.68,6.4
4874,176.6,149.77,189.2,115.35,11.86,12.27,,11.97,6.61,27.65,13.4,101.48,6.63,162.3,173.42,159.2,112.97,12.06,12.25,,11.97,6.61,23.05,32.6,106.35,6.63
4875,153.3,145.38,163.5,110.13,11.85,12.18,0.38,11.97,6.6,24.35,21.5,95.8,6.61,186.3,144.89,180,113.15,11.85,12.33,,11.98,6.6,25.96,8.1,104.97,6.61
4876,146.9,155.31,148.6,113.66,12.1,12.23,,11.97,6.62,25.62,18.3,97.9,6.63,141.5,152.97,161.3,116.46,11.9,12.36,,11.97,6.61,20.63,10.8,90.57,6.61
